Average_Stroke_Rate,Tempo_Trend,Breakout_Time,Total_Race_Time,Source_File,Unique_ID,Race_Date,place,total_cycles,split_diff,Total_UW_Distance,Total_Swim_Distance,Yards/Cycle
1.14,0.11,4.12,41.59,H:/CaseStudy/casestudycsv\Daniel Krueger_100 Free_vs_NCAA_March 2021.csv,DanKruM100FreeF20210327,2021-03-27,2,24.5,2.03,,,
1.12,0.07,5.36,40.89,H:/CaseStudy/casestudycsv\Ryan Hoffer_100 Free_vs_NCAA_March 2021.csv,RyaHofM100FreeF20210327,2021-03-27,1,15.5,1.75,,,
1.05,0.07,4.55,41.59,H:/CaseStudy/casestudycsv\Drew Kibler_100 Free_vs_NCAA_March 2021.csv,DreKibM100FreeF20210327,2021-03-27,2,21.5,2.47,,,
1.13,0.09,4.16,41.77,H:/CaseStudy/casestudycsv\Santo Condorelli_100 Free_vs_NCAA_March 2017.csv,SanConM100FreeF20170325,2017-03-25,5,23,2.57,35,65,2.826086957
1.05,0.09,4.94,41.77,H:/CaseStudy/casestudycsv\Brett Ringgold_100 Free_vs_NCAA_March 2017.csv,BreRinM100FreeF20170325,2017-03-25,5,19.5,2.27,49.6,50.4,2.584615385
1.01,0.05,4.35,40,H:/CaseStudy/casestudycsv\Caeleb Dressel_100 Free_vs_NCAA_March 2017.csv,CaeDreM100FreeF20170325,2017-03-25,1,22.5,1.98,43.2,56.8,2.524444444
1.02,0.05,3.81,40.95,H:/CaseStudy/casestudycsv\Michael Chadwick_100 Free_vs_NCAA_March 2017.csv,MicChaM100FreeF20170325,2017-03-25,2,26.5,2.09,33.3,66.7,2.516981132
1.01,0.05,4.77,41.21,H:/CaseStudy/casestudycsv\Ryan Held_100 Free_vs_NCAA_March 2017.csv,RyaHelM100FreeF20170325,2017-03-25,3,24.5,2.13,42.4,57.6,2.351020408
1.07,0.05,4.36,41.76,H:/CaseStudy/casestudycsv\Dylan Carter_100 Free_vs_NCAA_March 2017.csv,DylCarM100FreeF20170325,2017-03-25,4,22,2,41.8,58.2,2.645454545
1.05,0.05,3.51,41.8,H:/CaseStudy/casestudycsv\Sam Perry_100 Free_vs_NCAA_March 2017.csv,SamPerM100FreeF20170325,2017-03-25,7,26,2.56,33.5,66.5,2.557692308
1.05,0.07,3.53,41.85,H:/CaseStudy/casestudycsv\Blake Pieroni_100 Free_vs_NCAA_March 2017.csv,BlaPieM100FreeF20170325,2017-03-25,8,27,1.99,30,70,2.592592593
1.06,0.04,4.77,40.2,H:/CaseStudy/casestudycsv\Josh Liendo_100 Free_vs_NCAA_March 2024.csv,JosLieM100FreeF20240330,2024-03-30,1,19.5,1.64,47.3,52.7,2.702564103
1.07,0.04,4.19,40.61,H:/CaseStudy/casestudycsv\Jordan Crooks_100 Free_vs_NCAA_March 2024.csv,JorCroM100FreeF20240330,2024-03-30,4,19,2.19,50.6,49.4,2.6
1.1,0.05,4.03,40.66,H:/CaseStudy/casestudycsv\Chris Guiliano_100 Free_vs_NCAA_March 2024.csv,ChrGuiM100FreeF20240330,2024-03-30,5,23.5,2.44,37.3,62.7,2.668085106
1.13,0.05,5.03,41.5,H:/CaseStudy/casestudycsv\Jack Dolan_100 Free_vs_NCAA_March 2024.csv,JacDolM100FreeF20240330,2024-03-30,6,19.5,1.66,47,53,2.717948718
1.18,0.06,3.63,40.59,H:/CaseStudy/casestudycsv\Jack Alexy_100 Free_vs_NCAA_March 2024.csv,JacAleM100FreeF20240330,2024-03-30,3,24,1.47,32.1,67.9,2.829166667
1.12,0.06,4.87,41.5,H:/CaseStudy/casestudycsv\Matt Brownstead_100 Free_vs_NCAA_March 2024.csv,MatBroM100FreeF20240330,2024-03-30,6,20.5,1.92,45.3,54.7,2.668292683
1.22,0.06,4.51,41.8,H:/CaseStudy/casestudycsv\Bjorn Seeliger_100 Free_vs_NCAA_March 2024.csv,BjoSeeM100FreeF20240330,2024-03-30,8,18.5,2.3,43.7,56.3,3.043243243
1.19,0.07,4.25,40.55,H:/CaseStudy/casestudycsv\Guilherme Santos_100 Free_vs_NCAA_March 2024.csv,GuiSanM100FreeF20240330,2024-03-30,2,21.5,1.85,38.7,61.3,2.851162791
1.09,0.09,3.57,41.34,H:/CaseStudy/casestudycsv\Matt King_100 Free_vs_NCAA_March 2022.csv,MatKinM100FreeF20220326,2022-03-26,7,27,2.28,28.7,71.3,2.640740741
1.17,0.08,4.49,40.84,H:/CaseStudy/casestudycsv\Brooks Curry_100 Free_vs_NCAA_March 2022.csv,BroCurM100FreeF20220326,2022-03-26,1,20.5,1.92,43,57,2.780487805
1.16,0.05,4.63,41,H:/CaseStudy/casestudycsv\Bjorn Seeliger_100 Free_vs_NCAA_March 2022.csv,BjoSeeM100FreeF20220326,2022-03-26,2,18.5,2.58,47.4,52.6,2.843243243
1.04,0.06,4.19,41.09,H:/CaseStudy/casestudycsv\Andrei Minakov_100 Free_vs_NCAA_March 2022.csv,AndMinM100FreeF20220326,2022-03-26,3,22.5,1.95,42,58,2.577777778
1.06,0.06,4.67,41.22,H:/CaseStudy/casestudycsv\Matt Brownstead_100 Free_vs_NCAA_March 2022.csv,MatBroM100FreeF20220326,2022-03-26,4,23,1.92,40.3,59.7,2.595652174
1,0.07,4.67,41.24,H:/CaseStudy/casestudycsv\Jordan Crooks_100 Free_vs_NCAA_March 2022.csv,JorCroM100FreeF20220326,2022-03-26,5,21,2.66,49.3,50.7,2.414285714
1.13,0.07,4.16,41.33,H:/CaseStudy/casestudycsv\Drew Kibler_100 Free_vs_NCAA_March 2022.csv,DreKibM100FreeF20220326,2022-03-26,6,21,1.97,42.8,57.2,2.723809524
1.16,0.07,3.83,41.62,H:/CaseStudy/casestudycsv\Danny Krueger_100 Free_vs_NCAA_March 2022.csv,DanKruM100FreeF20220326,2022-03-26,8,24,1.94,33.3,66.7,2.779166667
1.21,0.11,3.62,42.73,H:/CaseStudy/casestudycsv\Tyler Messerschmidt_100 Free_vs_NCAA_March 2015.csv,TylMesM100FreeF20150328,2015-03-28,8,26.5,2.65,26.9,73.1,2.758490566
1.02,0.05,3.54,42.18,H:/CaseStudy/casestudycsv\Cristian Quintero_100 Free_vs_NCAA_March 2015.csv,CriQuiM100FreeF20150328,2015-03-28,3,29.5,1.7,29.6,70.4,2.386440678
1.14,0.05,3.71,42.26,H:/CaseStudy/casestudycsv\Bruno Ortiz_100 Free_vs_NCAA_March 2015.csv,BruOrtM100FreeF20150328,2015-03-28,4,25.5,2.22,34,66,2.588235294
1.08,0.06,4.49,42.36,H:/CaseStudy/casestudycsv\Nick Soedel_100 Free_vs_NCAA_March 2015.csv,NicSoeM100FreeF20150328,2015-03-28,6,24.5,1.8,37.3,62.7,2.559183673
1.19,0.06,3.69,42.62,H:/CaseStudy/casestudycsv\John Murray_100 Free_vs_NCAA_March 2015.csv,JohMurM100FreeF20150328,2015-03-28,7,25,1.66,32.6,67.4,2.696
1.06,0.07,3.25,41.56,H:/CaseStudy/casestudycsv\Kristian Gkolomeev_100 Free_vs_NCAA_March 2015.csv,KriGkoM100FreeF20150328,2015-03-28,1,26.5,2.36,30.2,69.8,2.633962264
1.23,0.07,3.87,41.78,H:/CaseStudy/casestudycsv\Simonas Bilis_100 Free_vs_NCAA_March 2015.csv,SimBilM100FreeF20150328,2015-03-28,2,24,1.32,31.6,68.4,2.85
1.09,0.07,3.85,42.29,H:/CaseStudy/casestudycsv\Michael Chadwick_100 Free_vs_NCAA_March 2015.csv,MicChaM100FreeF20150328,2015-03-28,5,27,2.01,29.1,70.9,2.625925926
1.18,0.08,4.68,41.55,H:/CaseStudy/casestudycsv\Jacob Molacek_100 Free_vs_NCAA_March 2018.csv,JacMolM100FreeF20180324,2018-03-24,5,20,1.67,42.6,57.4,2.87
1.09,0.08,3.59,41.67,H:/CaseStudy/casestudycsv\Townley Haas_100 Free_vs_NCAA_March 2018.csv,TowHaaM100FreeF20180324,2018-03-24,6,25.5,1.71,31.4,68.6,2.690196078
1.13,0.08,3.96,41.81,H:/CaseStudy/casestudycsv\Tate Jackson_100 Free_vs_NCAA_March 2018.csv,TatJacM100FreeF20180324,2018-03-24,7,23.5,1.47,35.3,64.7,2.753191489
1.02,0.05,4.22,39.9,H:/CaseStudy/casestudycsv\Caeleb Dressel_100 Free_vs_NCAA_March 2018.csv,CaeDreM100FreeF20180324,2018-03-24,1,23,1.98,41.2,58.8,2.556521739
1.03,0.05,4.92,41.08,H:/CaseStudy/casestudycsv\Ryan Held_100 Free_vs_NCAA_March 2018.csv,RyaHelM100FreeF20180324,2018-03-24,2,23,2,42.8,57.2,2.486956522
1.19,0.13,5.07,42.34,H:/CaseStudy/casestudycsv\Santo Condorelli_100 Free_vs_NCAA_March 2018.csv,SanConM100FreeF20180324,2018-03-24,8,21.5,3.16,38,62,2.88372093
1.1,0.06,4.77,41.49,H:/CaseStudy/casestudycsv\Justin Ress_100 Free_vs_NCAA_March 2018.csv,JusResM100FreeF20180324,2018-03-24,3,24,2.01,36,64,2.666666667
1.04,0.07,3.43,41.51,H:/CaseStudy/casestudycsv\Blake Pieroni_100 Free_vs_NCAA_March 2018.csv,BlaPieM100FreeF20180324,2018-03-24,4,27.5,2.43,31.2,68.8,2.501818182
1.06,0.04,5.06,40.28,H:/CaseStudy/casestudycsv\Josh Liendo_100 Free_vs_NCAA_March 2023.csv,JosLieM100FreeF20230325,2023-03-25,1,18.5,2,51.2,48.8,2.637837838
1.14,0.04,4.58,41.03,H:/CaseStudy/casestudycsv\Brooks Curry_100 Free_vs_NCAA_March 2023.csv,BroCurM100FreeF20230325,2023-03-25,5,19.5,2.29,44.9,55.1,2.825641026
1.13,0.05,4.59,40.93,H:/CaseStudy/casestudycsv\Bjorn Seeliger_100 Free_vs_NCAA_March 2023.csv,BjoSeeM100FreeF20230325,2023-03-25,3,19,2.45,46.7,53.3,2.805263158
1.13,0.05,5.39,40.98,H:/CaseStudy/casestudycsv\Ruslan Gaziev_100 Free_vs_NCAA_March 2023.csv,RusGazM100FreeF20230325,2023-03-25,4,22,1.38,40,60,2.727272727
1.1,0.05,4.93,41.03,H:/CaseStudy/casestudycsv\Jordan Crooks_100 Free_vs_NCAA_March 2023.csv,JorCroM100FreeF20230325,2023-03-25,5,18.5,1.85,50.7,49.3,2.664864865
1.01,0.05,5.12,41.61,H:/CaseStudy/casestudycsv\Youssef Ramadan_100 Free_vs_NCAA_March 2023.csv,YouRamM100FreeF20230325,2023-03-25,8,17.5,1.83,56.7,43.3,2.474285714
1.25,0.06,3.8,40.92,H:/CaseStudy/casestudycsv\Jack Alexy_100 Free_vs_NCAA_March 2023.csv,JacAleM100FreeF20230325,2023-03-25,2,22,1.48,33.2,66.8,3.036363636
1.15,0.06,4.57,41.39,H:/CaseStudy/casestudycsv\Van Mathias_100 Free_vs_NCAA_March 2023.csv,VanMatM100FreeF20230325,2023-03-25,7,22.5,1.41,38.9,61.1,2.715555556
1.04,0.05,4.86,41.77,H:/CaseStudy/casestudycsv\Ryan Held_100 Free_vs_NCAA_March 2016.csv,RyaHelM100FreeF20160326,2016-03-26,4,25.5,2.13,38.7,61.3,2.403921569
1.19,0.05,3.89,42.65,H:/CaseStudy/casestudycsv\Michael Trice_100 Free_vs_NCAA_March 2016.csv,MicTriM100FreeF20160326,2016-03-26,7,25,2.53,30.5,69.5,2.78
1.21,0.1,4.02,42.65,H:/CaseStudy/casestudycsv\John Murray_100 Free_vs_NCAA_March 2016.csv,JohMurM100FreeF20160326,2016-03-26,7,23,2.39,33.1,66.9,2.908695652
1.02,0.06,3.81,40.46,H:/CaseStudy/casestudycsv\Caeleb Dressel_100 Free_vs_NCAA_March 2016.csv,CaeDreM100FreeF20160326,2016-03-26,1,24,2,40,60,2.5
1.05,0.06,3.45,41.52,H:/CaseStudy/casestudycsv\Kristian Gkolomeev_100 Free_vs_NCAA_March 2016.csv,KriGkoM100FreeF20160326,2016-03-26,3,27,2.26,29,71,2.62962963
1.05,0.06,5.18,41.8,H:/CaseStudy/casestudycsv\Brett Ringgold_100 Free_vs_NCAA_March 2016.csv,BreRinM100FreeF20160326,2016-03-26,5,19.5,2.18,46,54,2.769230769
1.18,0.07,4.22,41.18,H:/CaseStudy/casestudycsv\Simonas Bilis_100 Free_vs_NCAA_March 2016.csv,SimBilM100FreeF20160326,2016-03-26,2,24,1.64,31.3,68.7,2.8625
1.08,0.07,3.7,41.98,H:/CaseStudy/casestudycsv\Michael Chadwick_100 Free_vs_NCAA_March 2016.csv,MicChaM100FreeF20160326,2016-03-26,6,26.5,1.94,31.2,68.8,2.596226415
1.17,0.04,3.71,41.45,H:/CaseStudy/casestudycsv\Zach Apple_100 Free_vs_NCAA_March 2019.csv,ZacAppM100FreeF20190330,2019-03-30,3,23,1.99,36.6,63.4,2.756521739
1.15,0.08,3.37,40.83,H:/CaseStudy/casestudycsv\Bowe Becker_100 Free_vs_NCAA_March 2019.csv,BowBecM100FreeF20190330,2019-03-30,2,24,1.87,28,72,3
1.16,0.08,3.29,41.56,H:/CaseStudy/casestudycsv\Daniel Krueger_100 Free_vs_NCAA_March 2019.csv,DanKruM100FreeF20190330,2019-03-30,4,25,1.84,33,67,2.68
1.08,0.07,4.12,40.8,H:/CaseStudy/casestudycsv\Dean Farris_100 Free_vs_NCAA_March 2019.csv,DeaFarM100FreeF20190330,2019-03-30,1,19.5,1.96,47.4,52.6,2.697435897
1.15,0.06,4.89,42,H:/CaseStudy/casestudycsv\Justin Ress_100 Free_vs_NCAA_March 2019.csv,JusResM100FreeF20190330,2019-03-30,7,23,1.9,36.3,63.7,2.769565217
1.11,0.06,4.65,42.06,H:/CaseStudy/casestudycsv\Pawel Sendyk_100 Free_vs_NCAA_March 2019.csv,PawSenM100FreeF20190330,2019-03-30,8,20,2.36,47.6,52.4,2.62
1.13,0.05,3.54,41.75,H:/CaseStudy/casestudycsv\Robert Howard_100 Free_vs_NCAA_March 2019.csv,RobHowM100FreeF20190330,2019-03-30,5,25.5,1.33,31,69,2.705882353
1.18,0.06,4.78,41.82,H:/CaseStudy/casestudycsv\Ryan Hoffer_100 Free_vs_NCAA_March 2019.csv,RyaHofM100FreeF20190330,2019-03-30,6,15,1.46,57.8,42.2,2.813333333